タイムスタンプ,カテゴリ,画像,画像2,画像3,画像4,画像5,緯度,経度,スポット名,紹介文,創業年月,駐車場,TEL,Instagram,X,公式サイト,Facebook,営業時間,定休日,住所,予約有無,タグ
2022/05/11 14:46:34,居酒屋・食事,https://picsum.photos/800/600?random=22?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,37.9868667,138.344697,八幡館,,,,,,,,,10:00 - 19:00,,新潟県佐渡市八幡２０４３,,"ランチ,居酒屋"
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=23?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,38.0006384,138.3223004,ちょぼ家,,,,,,,,,10:00 - 19:00,,新潟県佐渡市河原田本町１０４−２,,
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=24?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,38.0006735,138.3232305,杏庵,,,,,,,,,10:00 - 19:00,,新潟県佐渡市河原田本町中原６８２,,
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=25?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,38.0000399,138.3220762,丸美亭,,,,,,,,,10:00 - 19:00,,新潟県佐渡市河原田本町１７５,,
2022/05/11 14:46:34,スナック・バー,https://picsum.photos/800/600?random=26?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,38.0043849,138.32834,ローズ,,30年,有,0259-57-2278,,,http://shimachan0725.com/,,10:00 - 19:00,火曜日,新潟県佐渡市東大通１２９９−１,有,
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=128?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=30?&blur=2,https://picsum.photos/800/600?random=30?&blur=2,https://picsum.photos/800/600?random=30?&blur=2,38.0064194,138.3360064,ほっともっと佐和田店,,,,,,,https://instagram.com/snackarisu_sado?igshid=YmMyMTA2M2Y=,,19:00 - 24:00,,新潟県佐渡市長木７６５,,弁当
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=28?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,38.0043468,138.3283474,こうめ,,,,,,,,,10:00 - 17:06,,新潟県佐渡市東大通１２９９−１,,
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,https://picsum.photos/800/600?random=29?&blur=2,38.003639,138.3296637,大まるラーメン,,,,,,,https://www.s-perch.com/,,10:00 - 17:07,,新潟県佐渡市東大通１２２７−５,,ラーメン
,居酒屋・食事,,,,,,38.0057369,138.3305398,やじま東大通店,"炭火焼鳥、釜飯、ひれかつ丼、各種定食からお子さま向けメニューまで豊富に取り揃えております。
歓送迎会、忘年会その他各種ご宴会承ります。最大30名までの個室完備。お気軽にご相談下さい。",,有,0259-52-1001,,,,,,月曜日,新潟県佐渡市東大通８６６−１,有,"焼鳥,ランチ"
2022/05/11 14:46:34,寿司,https://picsum.photos/800/600?random=31?&blur=2,https://picsum.photos/800/600?random=31?&blur=2,https://picsum.photos/800/600?random=31?&blur=2,https://picsum.photos/800/600?random=31?&blur=2,https://picsum.photos/800/600?random=31?&blur=2,38.004016,138.3318757,弁慶寿司,新鮮な地魚を美味しい佐渡米で握ります。,平成元年 1989年,有,0259-52-3453,,,,,10:00 - 17:09,火曜日,新潟県佐渡市東大通８３３,無,寿司
2022/05/11 14:46:34,スナック・バー,https://picsum.photos/800/600?random=32?&blur=2,https://picsum.photos/800/600?random=32?&blur=2,https://picsum.photos/800/600?random=32?&blur=2,https://picsum.photos/800/600?random=32?&blur=2,https://picsum.photos/800/600?random=32?&blur=2,38.00576,138.3341667,イブ,カラオケで遊んで下さい。,44年,有,0259-52-4109,,,,,10:00 - 17:10,木曜日,新潟県佐渡市下長木４４５,有,ナイトスポット
2022/05/11 14:46:34,居酒屋・食事,https://picsum.photos/800/600?random=33?&blur=2,https://picsum.photos/800/600?random=33?&blur=2,https://picsum.photos/800/600?random=33?&blur=2,https://picsum.photos/800/600?random=33?&blur=2,https://picsum.photos/800/600?random=33?&blur=2,38.0028021,138.3308429,恵比寿,,,,0259-57-2228,,,https://benkei-sado.gorp.jp/,,10:00 - 17:11,,新潟県佐渡市八幡１２０２−３,,"ランチ,ラーメン,餃子"
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=34?&blur=2,https://picsum.photos/800/600?random=34?&blur=2,https://picsum.photos/800/600?random=34?&blur=2,https://picsum.photos/800/600?random=34?&blur=2,https://picsum.photos/800/600?random=34?&blur=2,38.0093434,138.3406806,ミスタードーナツ,,,,,,,https://www.urasima.com/,,10:00 - 17:12,,新潟県佐渡市市野沢２７,,
2022/05/11 14:46:34,寿司,https://picsum.photos/800/600?random=35?&blur=2,https://picsum.photos/800/600?random=35?&blur=2,https://picsum.photos/800/600?random=35?&blur=2,https://picsum.photos/800/600?random=35?&blur=2,https://picsum.photos/800/600?random=35?&blur=2,38.0009587,138.3182426,蛇の目寿司,,,,0259-52-2512,,,,,10:00 - 17:13,木曜日,新潟県佐渡市河原田本町２８４−４,有,
2022/05/11 14:46:34,,https://picsum.photos/800/600?random=36?&blur=2,https://picsum.photos/800/600?random=36?&blur=2,https://picsum.photos/800/600?random=36?&blur=2,https://picsum.photos/800/600?random=36?&blur=2,https://picsum.photos/800/600?random=36?&blur=2,38.0010245,138.3179351,割烹　松山,,,,,,,,,10:00 - 17:14,,新潟県佐渡市河原田諏訪町２０４−２,,
2022/05/11 14:46:34,スナック・バー,https://picsum.photos/800/600?random=37?&blur=2,https://picsum.photos/800/600?random=37?&blur=2,https://picsum.photos/800/600?random=37?&blur=2,https://picsum.photos/800/600?random=37?&blur=2,https://picsum.photos/800/600?random=37?&blur=2,38.001045,138.31781,アリス,,,無,0259-57-2893,,,,,10:00 - 17:15,日曜日,新潟県佐渡市河原田諏訪町２０３−６,有,
